state,county_fips,county_name,dem_votes,rep_votes,two_party,lean_dem,early_inperson,early_mail,election_day,early_share
GA,13001,APPLING,3013,11650,14663,0.2055,7970,1794,5079,0.6572
GA,13003,ATKINSON,1275,3981,5256,0.2426,2956,353,2022,0.6202
GA,13005,BACON,1049,7133,8182,0.1282,5969,782,1548,0.8134
GA,13007,BAKER,1174,1584,2758,0.4257,1329,485,960,0.6518
GA,13009,BALDWIN,16110,16289,32399,0.4972,19234,5356,8442,0.7443
GA,13011,BANKS,1671,13998,15669,0.1066,9984,1624,4391,0.7247
GA,13013,BARROW,18310,46453,64763,0.2827,37626,9011,20199,0.6976
GA,13015,BARTOW,21013,66370,87383,0.2405,47582,12238,29919,0.6662
GA,13017,BEN HILL,4051,7312,11363,0.3565,7977,1417,2155,0.8132
GA,13019,BERRIEN,2113,11288,13401,0.1577,7350,1370,4908,0.6393
GA,13021,BIBB,75033,46848,121881,0.6156,60456,23809,39468,0.6796
GA,13023,BLECKLEY,2288,7956,10244,0.2234,6059,1270,3103,0.7023
GA,13025,BRANTLEY,1165,12087,13252,0.0879,7476,990,4988,0.6289
GA,13027,BROOKS,4606,7778,12384,0.3719,6075,1912,4570,0.6349
GA,13029,BRYAN,11901,25210,37111,0.3207,24796,4304,8980,0.764
GA,13031,BULLOCH,19041,33090,52131,0.3653,25574,7449,20158,0.62
GA,13033,BURKE,8874,9869,18743,0.4735,8303,3057,7640,0.5976
GA,13035,BUTTS,5795,15113,20908,0.2772,15337,2480,3483,0.8363
GA,13037,CALHOUN,2174,1657,3831,0.5675,1701,703,1465,0.6212
GA,13039,CAMDEN,13225,26685,39910,0.3314,23610,5771,11830,0.7128
GA,13043,CANDLER,2183,5629,7812,0.2794,5407,864,1649,0.7915
GA,13045,CARROLL,28131,66835,94966,0.2962,52219,10723,34486,0.6457
GA,13047,CATOOSA,11881,43133,55014,0.216,34935,5768,15835,0.7194
GA,13049,CHARLTON,1796,5909,7705,0.2331,4184,783,2891,0.6316
GA,13051,CHATHAM,138869,94177,233046,0.5959,103539,48527,85454,0.6393
GA,13053,CHATTAHOOCHEE,1089,1388,2477,0.4396,1301,336,920,0.6392
GA,13055,CHATTOOGA,3400,13754,17154,0.1982,9201,2024,6370,0.6377
GA,13057,CHEROKEE,74915,180195,255110,0.2937,141971,44132,76997,0.7072
GA,13059,CLARKE,63115,25888,89003,0.7091,45677,21905,23467,0.7416
GA,13061,CLAY,1320,1175,2495,0.5291,1341,492,702,0.7228
GA,13063,CLAYTON,167111,24291,191402,0.8731,115290,35744,43393,0.7745
GA,13065,CLINCH,1099,3713,4812,0.2284,2717,411,1772,0.6382
GA,13067,COBB,387236,295453,682689,0.5672,354425,170422,175663,0.7483
GA,13069,COFFEE,7497,18871,26368,0.2843,16372,2266,8184,0.6943
GA,13071,COLQUITT,6956,21034,27990,0.2485,13956,3006,11462,0.5964
GA,13073,COLUMBIA,50724,90392,141116,0.3594,78171,19602,46432,0.6776
GA,13075,COOK,3460,8808,12268,0.282,7349,1266,3893,0.6887
GA,13077,COWETA,43084,92811,135895,0.317,66614,21973,50854,0.6351
GA,13079,CRAWFORD,2859,7770,10629,0.269,6050,1330,3455,0.6807
GA,13081,CRISP,4973,9112,14085,0.3531,8513,2046,3709,0.7397
GA,13083,DADE,2249,10569,12818,0.1755,6683,1153,5307,0.5958
GA,13085,DAWSON,4566,24402,28968,0.1576,19293,3570,6925,0.7674
GA,13087,DECATUR,7866,12129,19995,0.3934,11807,2798,5657,0.7199
GA,13089,DEKALB,549240,103810,653050,0.841,383348,148250,132074,0.7991
GA,13091,DODGE,3661,10688,14349,0.2551,6856,1618,6079,0.582
GA,13093,DOOLY,3287,3942,7229,0.4547,4080,932,2319,0.6832
GA,13095,DOUGHERTY,42424,18343,60767,0.6981,25185,12114,24110,0.6062
GA,13097,DOUGLAS,75954,42591,118545,0.6407,72401,22092,26629,0.7797
GA,13099,EARLY,3882,5005,8887,0.4368,4570,1295,3120,0.6522
GA,13101,ECHOLS,262,2169,2431,0.1078,1670,183,624,0.7478
GA,13103,EFFINGHAM,14100,41063,55163,0.2556,29240,5709,21607,0.6175
GA,13105,ELBERT,4794,11360,16154,0.2968,8275,2425,5663,0.6534
GA,13107,EMANUEL,4877,11842,16719,0.2917,7603,2016,7284,0.5688
GA,13109,EVANS,2219,5190,7409,0.2995,4679,1072,1776,0.764
GA,13111,FANNIN,4645,22008,26653,0.1743,12655,4243,10308,0.6203
GA,13113,FAYETTE,59761,68581,128342,0.4656,80806,21551,28919,0.7788
GA,13115,FLOYD,20640,50675,71315,0.2894,38021,9832,25129,0.6539
GA,13117,FORSYTH,72081,151665,223746,0.3222,148808,35295,45884,0.8
GA,13119,FRANKLIN,2631,16367,18998,0.1385,10179,2350,6818,0.6475
GA,13121,FULTON,670829,249224,920053,0.7291,596903,165883,172052,0.8124
GA,13123,GILMER,5238,24365,29603,0.1769,15222,4147,10921,0.6389
GA,13125,GLASCOCK,263,2537,2800,0.0939,1494,301,1040,0.6332
GA,13127,GLYNN,26750,46295,73045,0.3662,45151,11959,17414,0.7654
GA,13129,GORDON,7539,33966,41505,0.1816,20431,4581,17511,0.5878
GA,13131,GRADY,6038,12607,18645,0.3238,9913,2586,6371,0.6616
GA,13133,GREENE,7290,13988,21278,0.3426,13820,3446,4309,0.7999
GA,13135,GWINNETT,409239,281778,691017,0.5922,387898,141161,179327,0.7459
GA,13137,HABERSHAM,6227,29894,36121,0.1724,23951,5089,8062,0.7821
GA,13139,HALL,42683,115476,158159,0.2699,96682,25822,40200,0.7525
GA,13141,HANCOCK,5231,2162,7393,0.7076,3478,1912,2095,0.7197
GA,13143,HARALSON,3262,21805,25067,0.1301,11997,2874,10836,0.5784
GA,13145,HARRIS,9738,26351,36089,0.2698,16503,5043,15242,0.5853
GA,13147,HART,5259,17356,22615,0.2325,12683,2941,7400,0.6785
GA,13149,HEARD,1477,8086,9563,0.1544,4253,1289,4222,0.5673
GA,13151,HENRY,132348,80305,212653,0.6224,140207,33305,43297,0.7998
GA,13153,HOUSTON,56612,73667,130279,0.4345,72798,23548,36690,0.7236
GA,13155,IRWIN,1739,5696,7435,0.2339,4492,735,2312,0.6925
GA,13157,JACKSON,13766,53545,67311,0.2045,43198,8460,17415,0.7477
GA,13159,JASPER,3154,10702,13856,0.2276,7561,1841,4706,0.6655
GA,13161,JEFF DAVIS,1751,8312,10063,0.174,5468,929,3828,0.6256
GA,13163,JEFFERSON,7071,6580,13651,0.518,6605,2180,5010,0.6363
GA,13165,JENKINS,2106,3981,6087,0.346,3334,870,1953,0.6821
GA,13167,JOHNSON,2027,5285,7312,0.2772,4123,930,2351,0.6825
GA,13169,JONES,8677,17943,26620,0.326,14426,3721,8958,0.6693
GA,13171,LAMAR,4650,11696,16346,0.2845,9042,2160,5483,0.6707
GA,13173,LANIER,1669,4341,6010,0.2777,3851,611,1680,0.7265
GA,13175,LAURENS,13983,26436,40419,0.346,17991,6256,16724,0.5916
GA,13177,LEE,8203,21397,29600,0.2771,17052,2857,10173,0.6616
GA,13179,LIBERTY,22353,13233,35586,0.6281,21767,6638,8045,0.7791
GA,13181,LINCOLN,2448,5986,8434,0.2903,4402,1317,2843,0.6676
GA,13183,LONG,3577,6148,9725,0.3678,5627,891,3447,0.6529
GA,13185,LOWNDES,32973,45833,78806,0.4184,49147,10628,20080,0.7436
GA,13187,LUMPKIN,5465,21706,27171,0.2011,17963,3820,6247,0.777
GA,13189,MCDUFFIE,7071,11265,18336,0.3856,11648,3091,3932,0.7894
GA,13191,MCINTOSH,4546,7311,11857,0.3834,6968,2033,3086,0.7446
GA,13193,MACON,4996,3247,8243,0.6061,4920,1054,2380,0.7151
GA,13195,MADISON,6167,20489,26656,0.2314,13717,3536,10012,0.6325
GA,13197,MARION,2285,3998,6283,0.3637,3202,975,2256,0.6493
GA,13199,MERIWETHER,7498,11768,19266,0.3892,8633,2978,8016,0.5913
GA,13201,MILLER,1196,3664,4860,0.2461,2731,610,1586,0.6778
GA,13205,MITCHELL,6785,8907,15692,0.4324,7675,2697,5510,0.6527
GA,13207,MONROE,7942,20602,28544,0.2782,16506,2967,9606,0.6693
GA,13209,MONTGOMERY,1673,5377,7050,0.2373,3271,765,3110,0.5648
GA,13211,MORGAN,5913,15581,21494,0.2751,13221,2413,6239,0.7144
GA,13213,MURRAY,3829,22230,26059,0.1469,13882,2251,10487,0.606
GA,13215,MUSCOGEE,84413,51722,136135,0.6201,76417,28952,33356,0.7592
GA,13217,NEWTON,53568,40985,94553,0.5665,42762,18310,35369,0.633
GA,13219,OCONEE,14452,31789,46241,0.3125,30648,6901,9869,0.7918
GA,13221,OGLETHORPE,4319,10138,14457,0.2987,8707,2265,3866,0.7392
GA,13223,PAULDING,53144,94174,147318,0.3607,91066,23660,36384,0.7585
GA,13225,PEACH,10403,11639,22042,0.472,14655,3034,4714,0.7886
GA,13227,PICKENS,5267,25910,31177,0.1689,15474,3516,12972,0.594
GA,13229,PIERCE,1781,14135,15916,0.1119,10995,1513,3600,0.7765
GA,13231,PIKE,2687,16993,19680,0.1365,11727,1768,6544,0.6732
