year,office,state,county_fips,county_name,party,mode,votes
2020,PRESIDENT,AZ,04001,APACHE,DEMOCRAT,EARLY,16460
2020,PRESIDENT,AZ,04001,APACHE,DEMOCRAT,ELECTION DAY,6539
2020,PRESIDENT,AZ,04001,APACHE,DEMOCRAT,PROVISIONAL,294
2020,PRESIDENT,AZ,04001,APACHE,LIBERTARIAN,EARLY,311
2020,PRESIDENT,AZ,04001,APACHE,LIBERTARIAN,ELECTION DAY,122
2020,PRESIDENT,AZ,04001,APACHE,LIBERTARIAN,PROVISIONAL,4
2020,PRESIDENT,AZ,04001,APACHE,REPUBLICAN,EARLY,7262
2020,PRESIDENT,AZ,04001,APACHE,REPUBLICAN,ELECTION DAY,4053
2020,PRESIDENT,AZ,04001,APACHE,REPUBLICAN,PROVISIONAL,127
2020,PRESIDENT,AZ,04003,COCHISE,DEMOCRAT,EARLY,21563
2020,PRESIDENT,AZ,04003,COCHISE,DEMOCRAT,ELECTION DAY,1495
2020,PRESIDENT,AZ,04003,COCHISE,DEMOCRAT,PROVISIONAL,674
2020,PRESIDENT,AZ,04003,COCHISE,LIBERTARIAN,EARLY,931
2020,PRESIDENT,AZ,04003,COCHISE,LIBERTARIAN,ELECTION DAY,166
2020,PRESIDENT,AZ,04003,COCHISE,LIBERTARIAN,PROVISIONAL,56
2020,PRESIDENT,AZ,04003,COCHISE,REPUBLICAN,EARLY,25934
2020,PRESIDENT,AZ,04003,COCHISE,REPUBLICAN,ELECTION DAY,7714
2020,PRESIDENT,AZ,04003,COCHISE,REPUBLICAN,PROVISIONAL,1909
2020,PRESIDENT,AZ,04005,COCONINO,DEMOCRAT,EARLY,39430
2020,PRESIDENT,AZ,04005,COCONINO,DEMOCRAT,ELECTION DAY,4963
2020,PRESIDENT,AZ,04005,COCONINO,DEMOCRAT,PROVISIONAL,305
2020,PRESIDENT,AZ,04005,COCONINO,LIBERTARIAN,EARLY,1133
2020,PRESIDENT,AZ,04005,COCONINO,LIBERTARIAN,ELECTION DAY,368
2020,PRESIDENT,AZ,04005,COCONINO,LIBERTARIAN,PROVISIONAL,21
2020,PRESIDENT,AZ,04005,COCONINO,REPUBLICAN,EARLY,20311
2020,PRESIDENT,AZ,04005,COCONINO,REPUBLICAN,ELECTION DAY,6446
2020,PRESIDENT,AZ,04005,COCONINO,REPUBLICAN,PROVISIONAL,295
2020,PRESIDENT,AZ,04007,GILA,DEMOCRAT,EARLY,7481
2020,PRESIDENT,AZ,04007,GILA,DEMOCRAT,ELECTION DAY,1400
2020,PRESIDENT,AZ,04007,GILA,DEMOCRAT,PROVISIONAL,62
2020,PRESIDENT,AZ,04007,GILA,LIBERTARIAN,EARLY,279
2020,PRESIDENT,AZ,04007,GILA,LIBERTARIAN,ELECTION DAY,62
2020,PRESIDENT,AZ,04007,GILA,LIBERTARIAN,PROVISIONAL,1
2020,PRESIDENT,AZ,04007,GILA,REPUBLICAN,EARLY,15005
2020,PRESIDENT,AZ,04007,GILA,REPUBLICAN,ELECTION DAY,3260
2020,PRESIDENT,AZ,04007,GILA,REPUBLICAN,PROVISIONAL,112
2020,PRESIDENT,AZ,04009,GRAHAM,DEMOCRAT,EARLY,2944
2020,PRESIDENT,AZ,04009,GRAHAM,DEMOCRAT,ELECTION DAY,1055
