state,county_fips,ballots
GA,13001,4974
GA,13003,1687
GA,13005,3353
GA,13007,896
GA,13009,13194
GA,13011,5503
GA,13013,23472
GA,13015,31545
GA,13017,4573
GA,13019,4454
GA,13021,45593
GA,13023,3443
GA,13025,4336
GA,13027,4582
GA,13029,14177
GA,13031,17054
GA,13033,6491
GA,13035,9523
GA,13037,1410
GA,13039,15532
GA,13043,3416
GA,13045,31435
GA,13047,22752
GA,13049,2506
GA,13051,81879
GA,13053,906
GA,13055,5667
GA,13057,100489
GA,13059,37424
GA,13061,1027
GA,13063,90490
GA,13065,1598
GA,13067,293569
GA,13069,8919
GA,13071,8239
GA,13073,50438
GA,13075,4645
GA,13077,44117
GA,13079,3788
GA,13081,5625
GA,13083,4110
GA,13085,10577
GA,13087,8403
GA,13089,319974
GA,13091,4103
GA,13093,2785
GA,13095,21889
GA,13097,56423
GA,13099,3333
GA,13101,907
GA,13103,19933
GA,13105,5371
GA,13107,5022
GA,13109,3097
GA,13111,7879
GA,13113,54294
GA,13115,24373
GA,13117,100889
GA,13119,6834
GA,13121,437609
GA,13123,10047
GA,13125,856
GA,13127,30723
GA,13129,13202
GA,13131,6856
GA,13133,8340
GA,13135,323449
GA,13137,15095
GA,13139,62938
GA,13141,3097
GA,13143,7129
GA,13145,11278
GA,13147,8234
GA,13149,3095
GA,13151,101764
GA,13153,47526
GA,13155,2677
GA,13157,26740
GA,13159,4435
GA,13161,3310
GA,13163,4590
GA,13165,2050
GA,13167,2404
GA,13169,9821
GA,13171,5395
GA,13173,2289
GA,13175,12699
GA,13177,11311
GA,13179,15208
GA,13181,2899
GA,13183,3541
GA,13185,34515
GA,13187,11368
GA,13189,8248
GA,13191,4469
GA,13193,3223
GA,13195,8607
GA,13197,2396
GA,13199,6894
GA,13201,1616
GA,13205,5436
GA,13207,9451
GA,13209,2045
GA,13211,7822
GA,13213,8863
GA,13215,58796
GA,13217,30095
GA,13219,18226
GA,13221,5477
GA,13223,61877
GA,13225,10154
GA,13227,8710
GA,13229,6176
GA,13231,6681
GA,13233,11765
GA,13235,2777
GA,13237,8810
GA,13239,709
GA,13241,7102
GA,13243,2197
GA,13245,59982
GA,13247,35364
GA,13249,1464
GA,13251,4153
GA,13253,2048
GA,13255,17143
GA,13257,8066
GA,13259,1227
GA,13261,8203
GA,13263,2090
GA,13265,590
GA,13267,4854
GA,13269,2554
GA,13271,2514
GA,13273,2619
GA,13275,16001
GA,13277,10668
GA,13279,6687
GA,13281,5400
GA,13283,2056
GA,13285,18886
GA,13287,2476
GA,13289,2914
GA,13291,10439
GA,13293,9204
GA,13295,18399
GA,13297,30838
GA,13299,8561
GA,13301,1875
GA,13303,5801
GA,13305,8479
GA,13307,918
GA,13309,1277
GA,13311,9566
GA,13313,20708
GA,13315,1764
GA,13317,3306
GA,13319,2353
GA,13321,4959
