state,county_fips,ballots
NC,37001,59705
NC,37003,13324
NC,37005,4398
NC,37007,6450
NC,37009,9883
NC,37011,5227
NC,37013,16357
NC,37015,6699
NC,37017,10932
NC,37019,74755
NC,37021,115530
NC,37023,29446
NC,37025,81672
NC,37027,31849
NC,37029,3564
NC,37031,29324
NC,37033,7589
NC,37035,63986
NC,37037,41378
NC,37039,9967
NC,37041,5935
NC,37043,4419
NC,37045,37338
NC,37047,16012
NC,37049,37055
NC,37051,97741
NC,37053,8524
NC,37055,17735
NC,37057,56231
NC,37059,17800
NC,37061,14603
NC,37063,151394
NC,37065,18348
NC,37067,142918
NC,37069,26536
NC,37071,78800
NC,37073,3696
NC,37075,2844
NC,37077,23099
NC,37079,5786
NC,37081,215129
NC,37083,16633
NC,37085,45627
NC,37087,26512
NC,37089,47146
NC,37091,7370
NC,37093,16106
NC,37095,1161
NC,37097,76145
NC,37099,15057
NC,37101,90637
NC,37103,3057
NC,37105,21230
NC,37107,21095
NC,37109,35129
NC,37111,15094
NC,37113,13435
NC,37115,9334
NC,37117,7759
NC,37119,454944
NC,37121,6354
NC,37123,7678
NC,37125,42299
NC,37127,38749
NC,37129,100103
NC,37131,6448
NC,37133,54441
NC,37135,77291
NC,37137,5268
NC,37139,14485
NC,37141,24675
NC,37143,5246
NC,37145,15429
NC,37147,69300
NC,37149,9320
NC,37151,48035
NC,37153,13033
NC,37155,28802
NC,37157,30751
NC,37159,49018
NC,37161,20499
NC,37163,18006
NC,37165,9659
NC,37167,24775
NC,37169,15225
NC,37171,23825
NC,37173,4578
NC,37175,15898
NC,37177,985
NC,37179,96787
NC,37181,15314
NC,37183,518582
NC,37185,7550
NC,37187,4440
NC,37189,23897
NC,37191,39668
NC,37193,20195
NC,37195,30495
NC,37197,12086
NC,37199,7402
