state,county_fips,ballots
PA,42001,34428
PA,42003,440018
PA,42005,22071
PA,42007,53920
PA,42009,16221
PA,42011,124346
PA,42013,35461
PA,42015,18081
PA,42017,232840
PA,42019,70422
PA,42021,39704
PA,42023,1300
PA,42025,20398
PA,42027,52571
PA,42029,193484
PA,42031,11043
PA,42033,24052
PA,42035,11573
PA,42037,19446
PA,42039,24971
PA,42041,97388
PA,42043,86786
PA,42045,222946
PA,42047,9824
PA,42049,81063
PA,42051,35031
PA,42053,1551
PA,42055,51601
PA,42057,4372
PA,42059,10407
PA,42061,13875
PA,42063,24521
PA,42065,13357
PA,42067,6584
PA,42069,67807
PA,42071,167339
PA,42073,28846
PA,42075,43257
PA,42077,112521
PA,42079,95383
PA,42081,35094
PA,42083,11082
PA,42085,36912
PA,42087,13094
PA,42089,49182
PA,42091,339022
PA,42093,6080
PA,42095,114418
PA,42097,26523
PA,42099,14464
PA,42101,510105
PA,42103,19080
PA,42105,5201
PA,42107,44478
PA,42109,10945
PA,42111,23902
PA,42113,2036
PA,42115,13501
PA,42117,13061
PA,42119,12722
PA,42121,16857
PA,42123,11984
PA,42125,75553
PA,42127,17586
PA,42129,129230
PA,42131,8939
PA,42133,155499
